"first","last","seasons","games","AB","runs","hits","doubles","triples","HR","RBI","BB","SO","BA","OBP","SP","AP","BR","ABRuns","Runs.Created","SB","CS","Stolen.Base.Runs","Fielding.Average","Fielding.Runs","Primary.Position.Played","Total.Player.Rating","Hall.Fame.Membership"
"JIM","RIVERA",10,1171,3552,503,911,155,56,83,422,365,468,0.256,0.33,0.402,96,-17,-24,484,65,111,69,0.977,-36,"O",-9.9,"not a member"
"MICKEY","RIVERS",15,1468,5629,785,1660,247,71,61,499,266,430,0.295,0.329,0.397,106,10,32,756,164,132,49,0.982,57,"O",6.1,"not a member"
"PHIL","RIZZUTO",13,1661,5816,877,1588,239,62,38,563,651,362,0.273,0.351,0.355,93,-60,-43,789,53,97,34,0.968,86,"S",15.9,"selected by members"
"DAVE","ROBERTS",10,709,2017,194,483,77,7,49,208,128,333,0.239,0.288,0.357,83,-64,-49,210,167,121,52,0.983,-35,"3",-8.1,"not a member"
"LEON","ROBERTS",11,901,2737,342,731,126,28,78,328,256,392,0.267,0.335,0.419,108,28,28,383,158,60,28,0.982,-5,"O",-1.3,"not a member"
"BOB","ROBERTSON",11,829,2385,283,578,93,10,115,368,317,486,0.242,0.334,0.434,115,39,44,357,308,131,22,0.994,35,"1",2.9,"not a member"
"SHERRY","ROBERTSON",10,597,1507,200,346,55,18,26,151,202,213,0.23,0.323,0.342,83,-41,-36,184,195,41,32,0.946,-27,"O",-6.5,"not a member"
"BROOKS","ROBINSON",23,2896,10654,1232,2848,482,68,268,1357,860,721,0.267,0.325,0.401,105,32,52,1358,172,57,26,0.971,151,"3",19.8,"Select by writers"
"FRANK","ROBINSON",21,2808,10006,1829,2943,528,72,586,1812,1420,125,0.294,0.392,0.537,154,773,754,2126,113,118,40,0.984,47,"O",70.3,"Select by writers"
"JACKIE","ROBINSON",10,1382,4877,947,1518,273,54,137,734,740,266,0.311,0.41,0.474,131,269,248,1002,105,66,NA,0.983,49,"2",32.6,"Select by writers"
"WILBERT","ROBINSON",17,1371,5075,637,1388,212,51,18,622,286,155,0.273,0.316,0.346,84,-102,-116,647,104,NA,NA,0.941,-35,"C",-3.1,"not a member"
"EDDIE","ROBINSON",13,1315,4282,546,1146,172,24,172,723,521,330,0.268,0.354,0.44,113,65,72,694,4,23,25,0.99,-45,"1",-1.3,"not a member"
"YANK","ROBINSON",10,978,3428,697,825,148,44,15,219,664,158,0.241,0.375,0.323,105,92,49,538,169,NA,NA,0.887,-125,"2",-3.7,"not a member"
"BILL","ROBINSON",16,1472,4364,536,1127,229,29,166,641,263,655,0.258,0.303,0.438,104,14,6,545,310,87,29,0.979,-55,"O",-11.8,"not a member"
"ANDRE","RODGERS",11,854,2521,268,628,112,23,45,245,290,455,0.249,0.331,0.365,90,-23,-29,305,126,54,26,0.956,9,"S",1.7,"not a member"
"AURELIO","RODRIGUEZ",17,2017,6611,612,1570,287,46,124,648,324,708,0.237,0.276,0.351,75,-223,-234,610,212,68,29,0.964,184,"3",-7.1,"not a member"
"GARY","ROENICKE",12,1064,2708,367,670,135,4,121,410,406,392,0.247,0.354,0.434,117,65,69,424,64,54,28,0.988,-93,"O",-5.9,"not a member"
"BILLY","ROGELL",14,1482,5149,755,1375,256,75,42,609,649,382,0.267,0.351,0.37,84,-106,-116,707,326,102,NA,0.956,68,"S",2.7,"not a member"
"COOKIE","ROJAS",16,1822,6309,714,1660,254,25,54,593,396,443,0.263,0.309,0.337,83,-137,-145,630,316,108,12,0.984,-48,"2",-13,"not a member"
"RED","ROLFE",10,1175,4827,942,1394,257,67,69,497,526,306,0.289,0.36,0.413,100,-15,3,756,252,54,33,0.956,-22,"3",0.9,"not a member"
"RICH","ROLLINS",10,1002,3303,419,887,125,20,77,399,266,376,0.269,0.33,0.388,98,6,-7,424,75,4,2,0.947,-30,"3",-4.6,"not a member"
"JOHNNY","ROMANO",10,905,2767,355,706,112,10,129,417,414,441,0.255,0.358,0.443,123,79,90,450,308,131,22,0.99,-36,"C",9.2,"not a member"
"ED","ROMERO",12,730,1912,218,473,79,1,8,155,140,133,0.247,0.3,0.302,67,-86,-83,172,335,4,22,0.958,31,"S",-2.6,"not a member"
"PHIL","ROOF",15,857,2151,190,463,69,13,43,210,184,453,0.215,0.284,0.319,73,-79,-77,193,15,4,22,0.986,58,"C",1.2,"not a member"
"BUDDY","ROSAR",13,988,3198,335,836,147,15,18,367,315,135,0.261,0.33,0.334,84,-70,-67,358,75,48,27,0.992,33,"C",1.7,"not a member"
"PETE","ROSE",24,3562,14053,2165,4256,746,135,160,1314,1566,51,0.303,0.377,0.409,117,416,378,2220,106,39,23,0.991,-90,"O",19.4,"not a member"
"JOHNNY","ROSEBORO",14,1585,4847,512,1206,190,44,104,548,547,576,0.249,0.329,0.371,95,-34,-28,604,304,95,7,0.989,-22,"C",0.8,"not a member"
"AL","ROSEN",10,1044,3725,603,1063,165,20,192,717,587,353,0.285,0.386,0.495,138,188,197,729,234,70,29,0.961,-52,"3",11.9,"not a member"
"JACK","ROTHROCK",11,1014,3350,498,924,162,35,28,327,299,285,0.276,0.336,0.37,85,-72,-71,431,318,70,NA,0.976,-24,"O",-11.4,"not a member"
"EDD","ROUSH",18,1967,7363,1099,2376,339,182,68,981,484,235,0.323,0.369,0.446,127,232,252,1236,165,134,NA,0.972,23,"O",14.5,"selected by members"
"JACK","ROWE",12,1044,4386,764,1256,202,88,28,644,224,154,0.286,0.323,0.392,116,77,78,594,291,NA,NA,0.882,-147,"S",-3.3,"not a member"
"JERRY","ROYSTER",16,1428,4208,552,1049,165,33,40,352,411,477,0.249,0.318,0.333,76,-108,-138,456,96,137,1,0.951,-19,"3",-13.4,"not a member"
"JOE","RUDI",16,1547,5556,684,1468,287,39,179,810,369,679,0.264,0.314,0.427,112,41,66,730,150,40,2,0.991,3,"O",-0.1,"not a member"
"MUDDY","RUEL",19,1468,4514,494,1242,187,29,4,534,606,213,0.275,0.365,0.332,83,-93,-85,581,295,98,NA,0.982,53,"C",3.6,"not a member"
"PETE","RUNNELS",14,1799,6373,876,1854,282,64,49,630,844,543,0.291,0.376,0.378,106,81,82,934,223,90,14,0.994,-78,"1",2.9,"not a member"
"JIM","RUSSELL",10,1035,3595,554,959,175,51,67,428,503,391,0.267,0.36,0.4,108,55,46,544,291,2,NA,0.981,27,"O",2.6,"not a member"
"BILL","RUSSELL",18,2181,7318,796,1926,293,57,46,627,483,567,0.263,0.312,0.338,83,-195,-172,759,72,109,74,0.96,-49,"S",-2.1,"not a member"
"BABE","RUTH",22,2503,8399,2174,2873,506,136,714,2213,2056,88,0.342,0.474,0.69,209,1322,1355,2838,27,22,NA,0.968,5,"O",105.2,"Select by writers"
"CONNIE","RYAN",12,1184,3982,535,988,181,42,56,381,518,462,0.248,0.337,0.357,90,-49,-47,506,307,23,NA,0.97,-1,"2",0.3,"not a member"
"JIMMY","RYAN",18,2012,8164,1642,2502,451,157,118,1093,803,333,0.306,0.374,0.444,124,306,259,1562,244,NA,NA,0.918,26,"O",15.7,"not a member"
"JACK","RYAN",13,616,2192,245,476,69,29,4,154,85,645,0.217,0.248,0.281,50,-148,-148,175,195,NA,NA,0.947,-6,"C",-9.9,"not a member"
"MIKE","RYAN",11,636,1920,146,370,60,12,28,161,152,341,0.193,0.253,0.28,51,-120,-126,128,238,77,2,0.991,10,"C",-9.3,"not a member"
"LENN","SAKATA",11,565,1289,163,296,46,4,25,109,97,132,0.23,0.288,0.33,71,-53,-51,123,184,44,2,0.982,36,"2",0.5,"not a member"
"LUIS","SALAZAR",13,1302,4101,438,1070,144,33,94,455,179,557,0.261,0.294,0.381,88,-83,-78,446,22,90,64,0.95,-31,"3",-11.7,"not a member"
"MANNY","SANGUILLEN",13,1448,5062,566,1500,205,57,65,585,223,304,0.296,0.329,0.398,103,-2,6,616,212,75,5,0.986,-27,"C",0.9,"not a member"
"RON","SANTO",15,2243,8143,1138,2254,365,67,342,1331,1108,91,0.277,0.366,0.464,123,345,284,1379,212,79,7,0.954,137,"3",41.7,"not a member"
"TOM","SATRIANO",10,674,1623,130,365,53,5,21,157,214,204,0.225,0.317,0.303,79,-43,-39,160,308,121,22,0.987,-26,"C",-5.6,"not a member"
"HANK","SAUER",15,1399,4796,709,1278,200,19,288,876,561,600,0.266,0.347,0.496,123,144,145,840,15,77,NA,0.974,22,"O",10.9,"not a member"
"CARL","SAWATSKI",11,633,1449,133,351,46,5,58,213,191,226,0.242,0.333,0.401,92,-7,-15,202,107,2,NA,0.988,-32,"C",-2.9,"not a member"
"PAUL","SCHAAL",11,1128,3555,436,869,132,26,57,323,516,426,0.244,0.344,0.344,98,4,6,444,249,75,3,0.943,-91,"3",-11,"not a member"
"GERMANY","SCHAEFER",15,1150,3784,497,972,117,48,9,308,333,254,0.257,0.319,0.32,97,-8,-11,472,110,3,NA,0.954,3,"2",-1.1,"not a member"
"RAY","SCHALK",18,1762,5306,579,1345,199,49,11,594,638,326,0.253,0.34,0.316,83,-108,-104,630,82,109,NA,0.981,55,"C",7.1,"selected by members"
"WALLY","SCHANG",19,1842,5307,769,1506,264,90,59,710,849,504,0.284,0.393,0.401,117,156,158,896,26,87,NA,0.967,-68,"C",18.1,"not a member"
"MIKE","SCHMIDT",18,2404,8352,1506,2234,408,59,548,1595,1507,169,0.267,0.384,0.527,147,592,561,1757,80,134,22,0.955,265,"3",80.3,"Select by writers"
"WALTER","SCHMIDT",10,766,2411,216,619,63,20,3,234,137,25,0.257,0.301,0.303,68,-94,-101,231,286,41,NA,0.98,21,"C",-2.8,"not a member"
"RED","SCHOENDIENST",19,2216,8479,1223,2449,427,78,84,773,606,317,0.289,0.338,0.387,93,-70,-83,1109,333,62,NA,0.983,88,"2",10.7,"selected by members"
"DICK","SCHOFIELD.SR.",19,1321,3083,394,699,113,20,21,211,390,471,0.227,0.319,0.297,73,-100,-101,311,24,64,7,0.961,73,"S",1.1,"not a member"
"OSSE","SCHRECKENGOST",11,895,3057,304,829,136,31,9,338,102,NA,0.271,0.297,0.345,90,-36,-43,349,275,NA,NA,0.97,86,"C",12,"not a member"
"POP","SCHRIVER",14,800,2727,367,720,117,40,16,375,223,56,0.264,0.329,0.354,89,-37,-45,351,258,NA,NA,0.934,-15,"C",0,"not a member"
"FRANK","SCHULTE",15,1806,6533,906,1766,288,124,92,792,545,463,0.27,0.332,0.395,114,115,100,942,137,44,NA,0.966,-70,"O",-6.6,"not a member"
"FRED","SCHULTE",11,1179,4259,686,1241,249,54,47,593,462,333,0.291,0.362,0.408,98,6,-6,637,284,97,NA,0.976,35,"O",-4.8,"not a member"
"JOE","SCHULTZ",11,703,1959,235,558,83,19,15,249,116,14,0.285,0.327,0.37,93,-21,-20,242,212,41,NA,0.966,-43,"O",-9.2,"not a member"
"MIKE","SCIOSCIA",13,1441,4373,398,1131,198,12,68,446,567,280,0.259,0.347,0.356,99,-7,9,555,178,59,27,0.988,67,"C",14.7,"not a member"
"TONY","SCOTT",11,991,2803,331,699,111,28,17,253,186,424,0.249,0.3,0.327,75,-100,-96,272,28,109,25,0.986,9,"O",-12.4,"not a member"
"GEORGE","SCOTT",14,2034,7433,957,1992,306,60,271,1051,699,102,0.268,0.335,0.435,113,161,123,1027,307,96,7,0.99,-25,"1",-4.7,"not a member"
"EVERETT","SCOTT",13,1654,5837,552,1455,208,58,20,551,243,256,0.249,0.281,0.315,65,-297,-287,532,307,100,NA,0.965,117,"S",-7.1,"not a member"
"KIP","SELBACH",13,1610,6158,1064,1803,299,149,44,779,783,625,0.293,0.376,0.411,121,192,194,1132,204,NA,NA,0.944,75,"O",14.1,"not a member"
"ANDY","SEMINICK",15,1304,3921,495,953,139,26,164,556,582,634,0.243,0.347,0.417,107,31,39,584,135,110,NA,0.977,15,"C",11,"not a member"
"HANK","SEVEREID",15,1390,4312,408,1245,204,42,17,539,331,142,0.289,0.342,0.367,91,-44,-55,556,212,51,NA,0.978,-55,"C",-4,"not a member"
"LUKE","SEWELL",20,1630,5383,653,1393,272,56,20,696,486,280,0.259,0.323,0.341,70,-231,-246,616,301,82,28,0.978,48,"C",-9.7,"not a member"
"JOE","SEWELL",14,1903,7132,1141,2226,436,68,49,1055,842,48,0.312,0.391,0.413,109,116,117,1193,316,112,14,0.951,109,"S",35.2,"selected by members"
"CY","SEYMOUR",16,1528,5682,737,1723,229,96,52,799,354,293,0.303,0.346,0.405,117,143,108,917,127,NA,NA,0.945,81,"O",11.7,"not a member"
"ORATOR","SHAFFER",11,842,3442,584,974,162,52,10,241,227,197,0.283,0.328,0.369,123,89,89,448,195,NA,NA,0.865,82,"O",13.3,"not a member"
"HOWIE","SHANKS",14,1665,5699,604,1440,211,96,25,620,415,405,0.253,0.308,0.337,82,-154,-148,637,92,104,NA,0.971,10,"O",-14.3,"not a member"
"MERV","SHEA",11,439,1197,105,263,39,7,5,115,189,110,0.22,0.327,0.277,58,-67,-72,122,323,77,NA,0.976,16,"C",-3.3,"not a member"
"JIMMY","SHECKARD",17,2122,7605,1296,2084,354,136,56,813,1135,209,0.274,0.375,0.378,120,244,233,1314,260,NA,NA,0.958,83,"O",19.6,"not a member"
"JOHN","SHELBY",11,1036,3090,389,739,128,24,70,313,182,572,0.239,0.282,0.364,79,-101,-94,320,346,78,64,0.982,-36,"O",-15.3,"not a member"
"BILLY","SHINDLE",13,1422,5807,992,1560,226,97,31,758,388,216,0.269,0.323,0.357,90,-94,-78,813,194,NA,NA,0.892,95,"3",4.7,"not a member"
"GEORGE","SHOCH",11,706,2536,414,671,89,28,10,323,298,52,0.265,0.355,0.334,95,-15,1,365,42,NA,NA,0.912,-7,"O",-0.2,"not a member"
"BURT","SHOTTON",14,1388,4949,746,1338,154,65,9,290,714,350,0.27,0.365,0.333,110,61,84,663,180,135,NA,0.942,25,"O",2.6,"not a member"
"NORM","SIEBERN",12,1406,4481,662,1217,206,38,132,636,708,616,0.272,0.372,0.423,118,129,128,749,86,60,3,0.992,17,"1",6.4,"not a member"
"DICK","SIEBERT",11,1035,3917,439,1104,204,40,32,482,276,164,0.282,0.332,0.379,96,-36,-29,500,184,69,NA,0.99,31,"1",-8.2,"not a member"
"ROY","SIEVERS",17,1887,6387,945,1703,292,42,318,1147,841,699,0.267,0.357,0.475,124,198,206,1097,44,51,28,0.991,21,"1",12.6,"not a member"
"CHARLIE","SILVERA",10,227,482,34,136,15,2,1,52,53,293,0.282,0.356,0.328,86,-9,-8,58,107,99,22,0.985,21,"C",1.7,"not a member"
"AL","SIMMONS",20,2215,8759,1507,2927,539,149,307,1827,615,610,0.334,0.38,0.535,132,399,378,1771,331,104,NA,0.982,52,"O",27.2,"Select by writers"
"TED","SIMMONS",21,2456,8680,1074,2472,483,47,248,1389,855,586,0.285,0.352,0.437,118,201,209,1284,118,70,7,0.987,-78,"C",17.5,"not a member"
"DUKE","SIMS",11,843,2422,263,580,80,6,100,310,338,440,0.239,0.341,0.401,111,42,39,346,293,41,29,0.986,-20,"C",3.9,"not a member"
"MATT","SINATRO",10,140,252,20,48,6,1,1,21,17,321,0.19,0.244,0.234,34,-22,-22,16,107,3,32,0.996,19,"C",-0.1,"not a member"
"KEN","SINGLETON",15,2082,7189,985,2029,317,25,246,1065,1263,72,0.282,0.391,0.436,132,332,350,1247,118,73,8,0.98,-60,"O",21,"not a member"
"GEORGE","SISLER",15,2055,8267,1284,2812,425,164,102,1175,472,300,0.34,0.379,0.468,124,269,258,1490,225,28,NA,0.987,88,"1",23,"Select by writers"
"SIBBY","SISTI",13,1016,2999,401,732,121,19,27,260,283,404,0.244,0.313,0.324,79,-98,-81,315,184,88,NA,0.973,-72,"2",-12.6,"not a member"
"TED","SIZEMORE",12,1411,5011,577,1311,188,21,23,430,469,322,0.262,0.327,0.321,80,-123,-126,526,291,84,3,0.979,28,"2",-1.8,"not a member"
"BOB","SKINNER",12,1381,4318,642,1198,197,58,103,531,485,555,0.277,0.353,0.421,108,51,52,656,304,73,13,0.969,-7,"O",-1.7,"not a member"
"BILL","SKOWRON",14,1658,5547,681,1566,243,53,211,888,383,679,0.282,0.335,0.459,121,104,131,810,64,48,27,0.992,-3,"1",2.9,"not a member"
"JIMMY","SLAGLE",10,1298,4996,779,1340,124,56,2,344,619,NA,0.268,0.352,0.317,97,13,4,689,170,NA,NA,0.95,22,"O",-5.7,"not a member"
"ENOS","SLAUGHTER",19,2380,7946,1247,2383,413,148,169,1304,1018,481,0.3,0.382,0.453,122,306,270,1432,310,40,NA,0.98,0,"O",17.7,"selected by members"
"ROY","SMALLEY.JR.",13,1653,5657,745,1454,244,25,163,694,771,693,0.257,0.348,0.395,103,48,34,801,167,71,5,0.966,14,"S",14.5,"not a member"
"ROY","SMALLEY.SR.",11,872,2644,277,601,103,33,61,305,257,483,0.227,0.3,0.36,77,-95,-91,288,238,2,NA,0.947,3,"S",-3.3,"not a member"
"AL","SMITH",12,1517,5357,843,1458,258,46,164,676,674,629,0.272,0.36,0.429,113,106,106,846,304,81,27,0.961,-84,"O",-3.5,"not a member"
"REGGIE","SMITH",17,1987,7033,1123,2020,363,57,314,1092,890,19,0.287,0.37,0.489,136,379,351,1277,41,128,4,0.976,81,"O",34.8,"not a member"
"POP","SMITH",12,1093,4176,633,935,141,87,24,264,313,316,0.224,0.288,0.317,89,-63,-44,445,74,NA,NA,0.904,68,"2",5,"not a member"
"CHARLEY","SMITH",10,771,2484,228,594,83,18,69,281,130,498,0.239,0.281,0.37,82,-70,-65,246,308,23,26,0.945,14,"3",-5.9,"not a member"
"EARL","SMITH",12,860,2264,225,686,115,19,46,355,247,28,0.303,0.374,0.432,111,45,38,377,86,131,NA,0.952,-20,"C",5.6,"not a member"
"ELMER","SMITH",14,1235,4688,913,1455,196,136,37,638,636,96,0.31,0.397,0.434,128,191,199,942,136,NA,NA,0.921,-18,"O",10,"not a member"
"ELMER","SMITH",10,1012,3195,469,881,181,62,70,541,319,330,0.276,0.344,0.437,112,55,46,499,278,62,NA,0.957,-29,"O",-4.3,"not a member"
"GERMANY","SMITH",15,1710,6552,907,1592,251,94,47,618,408,262,0.243,0.289,0.332,76,-210,-224,726,139,NA,NA,0.902,155,"S",-0.8,"not a member"
"HAL","SMITH",10,879,2682,269,715,148,10,58,323,196,333,0.267,0.32,0.394,94,-33,-26,323,308,4,25,0.989,-3,"C",-0.7,"not a member"
"HARRY","SMITH",10,343,1004,83,214,22,7,2,89,55,98,0.213,0.262,0.255,54,-54,-58,78,135,NA,NA,0.95,-9,"C",-4.2,"not a member"
"JACK","SMITH",15,1406,4532,783,1301,182,71,40,382,334,319,0.287,0.339,0.385,103,-2,18,618,133,107,NA,0.961,-36,"O",-9.7,"not a member"
"DUKE","SNIDER",18,2143,7161,1259,2116,358,85,407,1333,971,70,0.295,0.381,0.54,138,441,405,1487,347,89,NA,0.985,-58,"O",24.2,"Select by writers"
"POP","SNYDER",15,797,3122,355,737,110,39,7,142,75,56,0.236,0.256,0.303,74,-82,-101,260,184,NA,NA,0.904,147,"C",7.7,"not a member"
"FRANK","SNYDER",16,1392,4229,331,1122,170,44,47,525,281,382,0.265,0.313,0.36,90,-69,-63,489,223,54,NA,0.981,17,"C",3.1,"not a member"
"RUSS","SNYDER",12,1365,3631,488,984,150,29,42,319,294,402,0.271,0.327,0.363,94,-33,-31,441,288,69,13,0.981,-96,"O",-18.4,"not a member"
"JOE","SOMMER",10,920,3675,617,911,109,42,11,77,238,474,0.248,0.297,0.309,90,-40,-41,380,6,NA,NA,0.901,38,"O",-1.1,"not a member"
"BILLY","SOUTHWORTH",13,1192,4359,661,1296,173,91,52,561,402,114,0.297,0.359,0.415,111,65,70,647,42,127,NA,0.965,23,"O",-0.9,"not a member"
"AL","SPANGLER",13,912,2267,307,594,87,26,21,175,295,210,0.262,0.35,0.351,100,0,8,298,223,69,29,0.973,-45,"O",-8.1,"not a member"
"TRIS","SPEAKER",22,2789,10195,1882,3514,792,222,117,1529,1381,199,0.345,0.428,0.5,156,843,813,2321,250,29,NA,0.97,247,"O",88.5,"Select by writers"
"CHRIS","SPEIER",19,2260,7156,770,1759,302,50,112,720,847,719,0.246,0.329,0.349,88,-97,-106,826,246,93,14,0.97,-52,"S",3.7,"not a member"
"DARYL","SPENCER",10,1098,3689,457,901,145,20,105,428,449,464,0.244,0.329,0.38,88,-51,-57,465,33,110,1,0.953,-13,"S",-0.1,"not a member"
"JIM","SPENCER",15,1553,4908,541,1227,179,27,146,599,407,511,0.25,0.31,0.387,98,-41,-24,574,15,51,29,0.995,30,"1",-9.3,"not a member"
"ROY","SPENCER",12,636,1814,177,448,57,13,3,203,128,81,0.247,0.301,0.298,56,-113,-116,171,238,3,NA,0.984,16,"C",-6.1,"not a member"
"HARRY","SPILMAN",12,563,810,96,192,34,1,18,117,81,74,0.237,0.309,0.348,85,-20,-16,92,3,53,2,0.991,-8,"1",-3.3,"not a member"
"MIKE","SQUIRES",10,779,1580,211,411,53,10,6,141,143,32,0.26,0.323,0.318,78,-43,-44,166,255,63,22,0.995,25,"1",-4.7,"not a member"
"CHICK","STAHL",10,1304,5069,858,1546,219,118,36,622,470,NA,0.305,0.369,0.416,121,175,142,891,96,NA,NA,0.961,-7,"O",4.8,"not a member"
"LARRY","STAHL",10,730,1721,167,400,58,19,36,163,142,328,0.232,0.293,0.351,86,-41,-33,180,126,41,22,0.983,16,"O",-4.4,"not a member"
"TUCK","STAINBACK",13,817,2261,284,585,90,14,17,204,64,192,0.259,0.284,0.333,68,-97,-104,219,167,23,NA,0.965,-29,"O",-16.2,"not a member"
"OSCAR","STANAGE",14,1096,3503,248,819,123,34,8,321,219,243,0.234,0.284,0.295,69,-138,-144,305,184,53,NA,0.961,-105,"C",-16.7,"not a member"
"EDDIE","STANKY",11,1259,4301,811,1154,185,35,29,364,996,344,0.268,0.41,0.348,109,114,116,717,264,88,NA,0.975,3,"2",18.5,"not a member"
"FRED","STANLEY",14,816,1650,197,356,38,5,10,120,196,219,0.216,0.302,0.263,62,-81,-77,144,15,99,1,0.971,-18,"S",-4.4,"not a member"
"MICKEY","STANLEY",15,1516,5022,641,1243,201,48,117,500,371,497,0.248,0.3,0.377,89,-59,-80,549,252,58,2,0.991,2,"O",-14,"not a member"
"WILLIE","STARGELL",21,2360,7927,1195,2232,423,55,475,1540,937,175,0.282,0.363,0.529,147,483,485,1531,75,41,26,0.961,-115,"O",26.1,"Select by writers"
"JOE","START",11,798,3433,590,1031,107,55,7,357,150,35,0.3,0.33,0.37,127,90,103,432,238,NA,NA,0.968,-7,"1",2.8,"not a member"
"RUSTY","STAUB",23,2951,9720,1189,2716,499,47,292,1466,1255,684,0.279,0.366,0.431,125,318,333,1534,262,70,27,0.969,37,"O",27.1,"not a member"
"JOHN","STEARNS",11,810,2681,334,696,152,10,46,312,323,269,0.26,0.345,0.375,102,2,13,347,337,90,22,0.985,11,"C",4.3,"not a member"
"BILL","STEIN",14,959,2811,268,751,122,18,44,311,186,379,0.267,0.316,0.37,91,-38,-37,315,64,41,26,0.95,-13,"3",-5.4,"not a member"
"HARRY","STEINFELDT",14,1646,5896,758,1576,284,90,27,762,471,293,0.267,0.329,0.36,101,34,2,808,102,NA,NA,0.926,47,"3",9.2,"not a member"
"CASEY","STENGEL",14,1277,4288,575,1219,182,89,60,535,437,414,0.284,0.356,0.41,119,118,110,654,35,81,NA,0.964,-9,"O",2.4,"not a member"
"RENNIE","STENNETT",11,1237,4521,500,1239,177,41,41,432,207,319,0.274,0.308,0.359,85,-98,-96,475,318,93,3,0.978,28,"2",-1.4,"not a member"
"GENE","STEPHENS",12,964,1913,283,460,78,15,37,207,233,296,0.24,0.327,0.355,82,-37,-46,239,167,54,25,0.973,-87,"O",-16.4,"not a member"
"VERN","STEPHENS",15,1720,6497,1001,1859,307,42,247,1174,692,582,0.286,0.355,0.46,118,185,147,1076,150,57,27,0.96,-20,"S",20.6,"not a member"
"RIGGS","STEPHENSON",14,1310,4508,714,1515,321,54,63,773,494,223,0.336,0.407,0.473,130,208,207,876,278,131,NA,0.978,-22,"O",12.7,"not a member"
"JOHN","STEPHENSON",10,451,989,83,214,37,3,12,93,63,56,0.216,0.272,0.296,64,-52,-46,75,2,3,2,0.986,-34,"C",-7.5,"not a member"
"JIMMY","STEWART",10,777,1420,164,336,45,14,8,112,139,197,0.237,0.308,0.305,71,-49,-53,142,226,54,2,0.969,-22,"O",-7.5,"not a member"
"BOB","STINSON",12,652,1634,166,408,61,7,33,180,201,229,0.25,0.34,0.356,93,-9,-10,205,323,4,25,0.984,-42,"C",-4.1,"not a member"
"SNUFFY","STIRNWEISS",10,1028,3695,604,989,157,68,29,281,541,408,0.268,0.362,0.371,102,28,21,545,38,94,70,0.98,0,"2",8.5,"not a member"
"MILT","STOCK",14,1628,6249,839,1806,270,58,22,696,455,295,0.289,0.339,0.361,98,-28,-17,789,60,116,NA,0.945,-59,"3",-1.1,"not a member"
"JOHN","STONE",11,1200,4494,739,1391,268,105,77,707,463,323,0.31,0.376,0.467,116,100,105,797,255,78,3,0.967,25,"O",5.5,"not a member"
"GEORGE","STOVALL",12,1414,5222,547,1382,231,56,15,564,172,706,0.265,0.292,0.339,92,-69,-66,571,46,NA,NA,0.986,33,"1",-5.5,"not a member"
"HARRY","STOVEY",14,1486,6138,1492,1769,347,174,122,549,661,314,0.288,0.36,0.461,143,360,320,1244,271,NA,NA,0.896,40,"O",23.8,"not a member"
"SAMMY","STRANG",10,903,2933,479,790,112,28,16,253,464,524,0.269,0.376,0.343,113,65,72,484,122,NA,NA,0.891,-71,"3",0.6,"not a member"
"CUB","STRICKER",11,1196,4635,790,1107,128,47,12,259,414,25,0.239,0.306,0.294,80,-107,-107,521,171,NA,NA,0.907,30,"2",-3.3,"not a member"
"GEORGE","STRICKLAND",10,971,2824,305,633,84,27,36,284,361,414,0.224,0.314,0.311,70,-112,-113,299,24,4,NA,0.963,74,"S",1.4,"not a member"
"JOE","STRIPP",11,1146,4211,575,1238,219,43,24,464,280,205,0.294,0.34,0.384,96,-42,-26,555,269,NA,NA,0.961,21,"3",1.9,"not a member"
"AMOS","STRUNK",17,1512,4999,696,1418,213,96,15,530,573,304,0.284,0.359,0.374,112,68,82,720,92,128,NA,0.98,13,"O",-0.3,"not a member"
"DICK","STUART",10,1112,3997,506,1055,157,30,228,743,301,711,0.264,0.319,0.489,117,81,79,595,107,110,25,0.982,13,"1",2.4,"not a member"
"PETE","SUDER",13,1421,5085,469,1268,210,44,49,541,288,416,0.249,0.291,0.337,71,-219,-221,478,97,63,4,0.982,2,"2",-18,"not a member"
"JOE","SUGDEN",13,835,2726,303,696,72,25,3,283,220,310,0.255,0.318,0.303,78,-83,-70,305,264,NA,NA,0.957,27,"C",2.8,"not a member"
"GUS","SUHR",11,1435,5176,714,1446,288,114,84,818,718,397,0.279,0.368,0.428,112,106,102,867,276,NA,NA,0.992,-53,"1",-8.9,"not a member"
"CLYDE","SUKEFORTH",10,486,1237,122,326,50,14,2,96,95,501,0.264,0.319,0.331,71,-57,-49,138,24,NA,NA,0.974,-20,"C",-4.3,"not a member"
"BILLY","SULLIVAN.JR.",12,962,2840,347,820,152,32,29,388,240,58,0.289,0.346,0.395,91,-36,-37,397,184,59,NA,0.972,-11,"C",-3.4,"not a member"
"BILLY","SULLIVAN.SR.",16,1147,3647,363,777,119,33,21,378,170,2,0.213,0.254,0.281,63,-175,-167,305,346,NA,NA,0.976,-8,"C",-7.6,"not a member"
"HOMER","SUMMA",10,840,3001,414,905,166,34,18,361,166,681,0.302,0.346,0.398,92,-35,-39,409,252,72,29,0.961,-36,"O",-12.6,"not a member"
"CHAMP","SUMMERS",11,698,1371,199,350,63,4,54,218,188,220,0.255,0.353,0.425,111,29,25,215,54,30,22,0.959,-33,"O",-2.2,"not a member"
